Device Name,Instance Name,Updated time (America/Los_Angeles),Utilization (%)
pcass01-sjc02-prod,system.cpu.utilization,13-03-2016 21:59,56
pcass01-sjc02-prod,system.cpu.utilization,13-03-2016 22:00,52
pcass01-sjc02-prod,system.cpu.utilization,13-03-2016 22:01,60.1
pcass01-sjc02-prod,system.cpu.utilization,13-03-2016 22:02,50.8
pcass01-sjc02-prod,system.cpu.utilization,13-03-2016 22:03,49.5
pcass01-sjc02-prod,system.cpu.utilization,13-03-2016 22:04,59.9
pcass01-sjc02-prod,system.cpu.utilization,13-03-2016 22:05,55.1
pcass01-sjc02-prod,system.cpu.utilization,13-03-2016 22:06,57.6
pcass01-sjc02-prod,system.cpu.utilization,13-03-2016 22:07,46.9
pcass01-sjc02-prod,system.cpu.utilization,13-03-2016 22:08,55.3
pcass01-sjc02-prod,system.cpu.utilization,13-03-2016 22:09,52.5
pcass01-sjc02-prod,system.cpu.utilization,13-03-2016 22:10,46.7
pcass01-sjc02-prod,system.cpu.utilization,13-03-2016 22:11,56.4
pcass01-sjc02-prod,system.cpu.utilization,13-03-2016 22:12,54
pcass01-sjc02-prod,system.cpu.utilization,13-03-2016 22:13,56.2
pcass01-sjc02-prod,system.cpu.utilization,13-03-2016 22:14,48.8
pcass01-sjc02-prod,system.cpu.utilization,13-03-2016 22:15,46.7
pcass01-sjc02-prod,system.cpu.utilization,13-03-2016 22:16,61.6
pcass01-sjc02-prod,system.cpu.utilization,13-03-2016 22:17,52.6
pcass01-sjc02-prod,system.cpu.utilization,13-03-2016 22:18,40.4
pcass01-sjc02-prod,system.cpu.utilization,13-03-2016 22:19,40
pcass01-sjc02-prod,system.cpu.utilization,13-03-2016 22:20,42.3
pcass01-sjc02-prod,system.cpu.utilization,13-03-2016 22:21,53.5
pcass01-sjc02-prod,system.cpu.utilization,13-03-2016 22:22,38.8
